Date,Close/Last,Volume,Open,High,Low
02/04/2022,$3.91,1599821,$3.83,$3.95,$3.735
02/03/2022,$3.84,1252380,$3.95,$3.99,$3.82
02/02/2022,$4.01,1080688,$4.11,$4.12,$3.965
02/01/2022,$4.09,1489064,$3.95,$4.13,$3.845
01/31/2022,$3.93,1532330,$3.65,$3.95,$3.65
01/28/2022,$3.64,1774706,$3.61,$3.64,$3.455
01/27/2022,$3.65,1266817,$3.82,$3.85,$3.61
01/26/2022,$3.78,1441288,$3.95,$3.99,$3.72
01/25/2022,$3.88,1136490,$3.87,$3.96,$3.745
01/24/2022,$3.88,2035248,$3.8,$3.88,$3.57
01/21/2022,$3.99,1563787,$4.06,$4.17,$3.96
01/20/2022,$4.15,1044869,$4.32,$4.41,$4.14
01/19/2022,$4.29,1483799,$4.33,$4.34,$4.21
01/18/2022,$4.32,1312190,$4.51,$4.525,$4.3
01/14/2022,$4.51,866425,$4.45,$4.54,$4.42
01/13/2022,$4.5,830643,$4.55,$4.67,$4.48
01/12/2022,$4.53,812546,$4.6,$4.68,$4.5
01/11/2022,$4.58,1278651,$4.51,$4.64,$4.469
01/10/2022,$4.47,1471362,$4.51,$4.54,$4.34
01/07/2022,$4.55,851519,$4.63,$4.68,$4.545
01/06/2022,$4.63,1380173,$4.61,$4.7,$4.47
01/05/2022,$4.6,1130733,$4.835,$4.85,$4.57
01/04/2022,$4.83,1174708,$4.92,$4.9399,$4.75
01/03/2022,$4.89,1563482,$4.71,$4.98,$4.71
12/31/2021,$4.68,1803382,$4.74,$4.855,$4.66
12/30/2021,$4.72,2441804,$4.55,$4.85,$4.47
12/29/2021,$4.6,1588552,$4.87,$4.87,$4.58
12/28/2021,$4.8,1968554,$4.9,$4.97,$4.8
12/27/2021,$4.92,1635762,$5.1,$5.12,$4.9
12/23/2021,$5.11,1265855,$5.08,$5.21,$5.08
12/22/2021,$5.09,926945,$5.13,$5.16,$5.07
12/21/2021,$5.14,1269594,$4.97,$5.18,$4.97
12/20/2021,$4.97,1178284,$5.02,$5.095,$4.9
12/17/2021,$5.15,2106761,$4.93,$5.23,$4.9
12/16/2021,$5,1740830,$5.2,$5.29,$4.975
12/15/2021,$5.14,2328140,$5.09,$5.16,$4.9
12/14/2021,$5.11,1632548,$5.14,$5.2702,$5.08
12/13/2021,$5.2,1655871,$5.45,$5.45,$5.18
12/10/2021,$5.49,1975176,$5.66,$5.74,$5.45
12/09/2021,$5.62,1578435,$5.81,$5.88,$5.59
12/08/2021,$5.82,1254951,$5.8,$5.94,$5.7
12/07/2021,$5.76,1750023,$5.625,$5.89,$5.625
12/06/2021,$5.5,2701408,$5.4,$5.62,$5.25
12/03/2021,$5.41,2017185,$5.74,$5.74,$5.34
12/02/2021,$5.77,1648530,$5.64,$5.78,$5.51
12/01/2021,$5.64,2087684,$6.1,$6.115,$5.63
11/30/2021,$5.99,1746440,$6.05,$6.1,$5.82
11/29/2021,$6.13,2220846,$6.29,$6.29,$5.95
11/26/2021,$6.13,1407631,$6.35,$6.4,$6.1
11/24/2021,$6.48,1308465,$6.46,$6.525,$6.38
11/23/2021,$6.49,1620107,$6.51,$6.6,$6.4
11/22/2021,$6.56,1752315,$6.61,$6.6798,$6.43
11/19/2021,$6.61,1656274,$6.62,$6.765,$6.59
11/18/2021,$6.63,2013835,$6.79,$6.79,$6.58
11/17/2021,$6.75,2300988,$6.88,$6.95,$6.7
11/16/2021,$6.95,1845299,$6.99,$7.04,$6.82
11/15/2021,$7.02,1287791,$7.21,$7.215,$6.97
